frame_no,detection,label,confidence,x_min,y_min,x_max,y_max
169,3,driving car,0.07
169,4,checking tires,0.02
170,0,finger snapping,0.42
170,1,texting,0.21
170,2,changing oil,0.18
170,3,driving car,0.06
170,4,checking tires,0.02
171,0,finger snapping,0.43
171,1,changing oil,0.19
171,2,texting,0.18
171,3,driving car,0.06
171,4,checking tires,0.02
172,0,finger snapping,0.49
172,1,texting,0.17
172,2,changing oil,0.16
172,3,driving car,0.07
172,4,checking tires,0.02
173,0,finger snapping,0.51
173,1,texting,0.16
173,2,changing oil,0.15
173,3,driving car,0.06
173,4,checking tires,0.02
174,0,finger snapping,0.49
174,1,texting,0.16
174,2,changing oil,0.16
174,3,driving car,0.06
174,4,checking tires,0.02
175,0,finger snapping,0.52
175,1,changing oil,0.17
175,2,texting,0.13
175,3,driving car,0.06
175,4,checking tires,0.02
176,0,finger snapping,0.58
176,1,changing oil,0.13
176,2,texting,0.11
176,3,driving car,0.06
176,4,checking tires,0.02
177,0,finger snapping,0.6
177,1,changing oil,0.13
177,2,texting,0.11
177,3,driving car,0.06
177,4,checking tires,0.02
178,0,finger snapping,0.58
178,1,changing oil,0.12
178,2,texting,0.12
178,3,driving car,0.06
178,4,checking tires,0.02
179,0,finger snapping,0.61
179,1,changing oil,0.11
179,2,texting,0.1
179,3,driving car,0.06
179,4,checking tires,0.02
180,0,finger snapping,0.65
180,1,texting,0.09
180,2,changing oil,0.09
180,3,driving car,0.06
180,4,checking tires,0.02
181,0,finger snapping,0.68
181,1,texting,0.09
181,2,changing oil,0.09
181,3,driving car,0.06
181,4,checking tires,0.01
182,0,finger snapping,0.67
182,1,texting,0.11
182,2,changing oil,0.07
182,3,driving car,0.06
182,4,checking tires,0.02
183,0,finger snapping,0.69
183,1,texting,0.1
183,2,driving car,0.06
183,3,changing oil,0.05
183,4,checking tires,0.02
184,0,finger snapping,0.72
184,1,texting,0.09
184,2,driving car,0.06
184,3,changing oil,0.04
184,4,checking tires,0.02
185,0,finger snapping,0.72
185,1,texting,0.09
185,2,driving car,0.07
185,3,changing oil,0.04
185,4,checking tires,0.01
186,0,finger snapping,0.68
186,1,texting,0.11
186,2,driving car,0.08
186,3,changing oil,0.05
186,4,checking tires,0.01
187,0,finger snapping,0.7
187,1,texting,0.1
187,2,driving car,0.07
187,3,changing oil,0.04
188,0,finger snapping,0.71
188,1,texting,0.09
188,2,driving car,0.08
188,3,changing oil,0.04
189,0,finger snapping,0.69
189,1,texting,0.1
189,2,driving car,0.09
189,3,changing oil,0.05
190,0,finger snapping,0.67
190,1,texting,0.11
190,2,driving car,0.09
190,3,changing oil,0.05
191,0,finger snapping,0.67
191,1,texting,0.11
191,2,driving car,0.09
191,3,changing oil,0.05
192,0,finger snapping,0.67
192,1,texting,0.11
192,2,driving car,0.11
192,3,changing oil,0.04
193,0,finger snapping,0.65
193,1,texting,0.12
193,2,driving car,0.11
193,3,changing oil,0.05
194,0,finger snapping,0.63
194,1,texting,0.13
194,2,driving car,0.12
194,3,changing oil,0.06
195,0,finger snapping,0.63
195,1,driving car,0.13
195,2,texting,0.13
195,3,changing oil,0.05
196,0,finger snapping,0.62
196,1,driving car,0.14
196,2,texting,0.13
196,3,changing oil,0.05
197,0,finger snapping,0.6
197,1,driving car,0.15
197,2,texting,0.14
197,3,changing oil,0.05
198,0,finger snapping,0.59
198,1,driving car,0.17
198,2,texting,0.14
198,3,changing oil,0.05
199,0,finger snapping,0.57
